transect,ac_erect_single,ag_articulated_calcareous,ag_corticated_foliose,ag_corticated_macrophyte,cca_crustose,cy_filamentous,hc_arborescent,hc_bushy,hc_column,hc_encrusting,hc_foliose,hc_massive,hc_table,oc_arborescent,oc_bushy,oc_cluster,oc_digitate,oc_encrusting,oc_lobate,oc_massive,sg,sp_encrusting,sp_massive,sp_repent,turf_filamentous,zo_encrusting,zo_massive
Dongsha_EastInnerAtoll_5m_T1,0,0,0,0.011422833,2.305498209,0,0,0.016462012,0.806007688,4.185258295,0.164898924,3.394877326,0.013739882,0,0.000788672,0,0.10575228,0,0.067899752,0,0,0.028060463,0,0.10478027,5.71769255,0.036528274,0
Dongsha_EastInnerAtoll_5m_T2,0,0,0.080983304,0.022844986,2.249244368,0,0.138869782,0.086245509,0.575747078,4.63564859,0.082252249,3.728227499,0.011884789,0,0.027207581,0,0.63724547,0,0.139207978,0.035365755,0,0,0,0.015842401,5.061672659,0.10069665,0.002050129
Dongsha_EastInnerAtoll_5m_T3,0,0,0.08917143,0.003251996,2.824578962,0.002106681,0,0.020600724,0.3249619,3.642134961,0.006146622,2.189844332,0,0,0,0,0.295862006,0,0.046628066,0.060018845,0,0.007362029,0,0.059041056,6.778750166,0.009798376,0
Dongsha_EastInnerAtoll_5m_T4,0,0,0.039013171,0.015166189,2.579920889,0.006877947,0,0.01864455,0.768139604,4.008650776,0.049943037,2.122820578,0,0,0,0,0.428401565,0,0.022357209,0,0,0.037963879,0,0.12953907,7.066157934,0,0
Dongsha_EastInnerAtoll_5m_T5,0,0,0.11206961,0.00175949,2.308254566,0,0,0.020417905,1.061475172,5.118774622,0.063150018,2.272081749,0.019877912,0,0,0,0.408207239,0,0.222577341,0.0076328,0,0.017421438,0,0.009293773,6.62577188,0.094685937,0
Dongsha_EastOuterAtoll_10m_T1,0.01523909,0.641726047,0.134288237,0.013886954,3.972789853,0.073197272,0,0.076602139,0,1.842655705,0.060103123,0.144812877,0.002745498,0,0.072675618,0.074573785,0.449081112,0,0,0,0,0.001226401,0,0.126804916,12.12310995,0,0
Dongsha_EastOuterAtoll_10m_T2,0.007608414,0.668035167,0.162828142,0.081437033,4.197360573,0.118403566,0.035898569,0.231077061,0.018502239,2.183134324,0.074369818,0.074178076,0,0.059382039,0.176717389,0.006583269,0.138387553,0,0,0.018441691,0,0.021534484,0,0.009748897,11.51058572,0,0
Dongsha_EastOuterAtoll_10m_T3,0.034222701,0.57398107,0.081020441,0.029113248,3.648006904,0.080305915,0,0.034203072,0,1.250653831,0.023166782,0.019224667,0,0,0.095244714,0.00912701,0.373298396,0,0.008679456,0.035720103,0,0,0,0.012404463,13.62841295,0,0
Dongsha_EastOuterAtoll_10m_T4,0.006856299,0.65316758,0.00818499,0.023912778,5.567070302,0.101505426,0,0.136979287,0.059690084,1.752537168,0.360153776,0.016651213,0.001544974,0.000996599,0.073334843,0.131363061,0.062178345,0,0.002141853,0.125618398,0,0,0,0.019665361,10.81005275,0,0
Dongsha_EastOuterAtoll_10m_T5,0.042488949,0.413605577,0.103319432,0.039827738,4.520018527,0.127864287,0,0.049104632,0,1.087586927,0.046098044,0.084849928,0,0,0,0.037412761,0.065767012,0,0,0,0,0,0,0.181354867,12.52059992,0,0
