Region,Site,Depth,Latitude,Longitude,Mean_SST,SD_SST,Light_intensity,Wave_exposure,Wave_height,Mean_chl_a,SD_chl_a,Nitrate,Nitrite,Phosphate,DHW,DHW_recovery,Typhoon_disturbance,Typhoon_recovery,Typhoon_frequency,Anthropogenic_land_use,Forest_land_use,Population_density,Tourist_visitors,Unstable_substrate_cover,Management_status
Dongsha,East Inner Atoll,5,20.6921,116.866417,23.60000038,2.248424218,12.08200115,22.0254612,3.599999905,0.602471173,0.275446391,0.234882091,0.072752956,0.059366708,10.49,13,5.8,4,9,0,0,0,0,8.822819012,no-take
Dongsha,East Inner Atoll,5,20.69215,116.866417,23.60000038,2.248424218,12.08200115,22.0254612,3.599999905,0.602471173,0.275446391,0.234882091,0.072752956,0.059366708,10.49,13,5.8,4,9,0,0,0,0,4.54954782,no-take
Dongsha,East Inner Atoll,5,20.6922,116.866417,23.60000038,2.248424218,12.08200115,22.0254612,3.599999905,0.602471173,0.275446391,0.234882091,0.072752956,0.059366708,10.49,13,5.8,4,9,0,0,0,0,10.77390465,no-take
Dongsha,East Inner Atoll,5,20.69225,116.866417,23.60000038,2.248424218,12.08200115,22.0254612,3.599999905,0.602471173,0.275446391,0.234882091,0.072752956,0.059366708,10.49,13,5.8,4,9,0,0,0,0,4.616784544,no-take
Dongsha,East Inner Atoll,5,20.6923,116.866417,23.60000038,2.248424218,12.08200115,22.0254612,3.599999905,0.602471173,0.275446391,0.234882091,0.072752956,0.059366708,10.49,13,5.8,4,9,0,0,0,0,3.629145944,no-take
Dongsha,South Inner Atoll,5,20.643933,116.806167,23.59000015,2.266002836,12.91087365,22.11943626,3.599999905,0.531910598,0.225035326,0.04145211,0.037834382,0.056564491,11.11,13,5.8,4,9,16633.75,8.73,0,0,1.567544736,no-take
Dongsha,South Inner Atoll,5,20.643983,116.806167,23.59000015,2.266002836,12.91087365,22.11943626,3.599999905,0.531910598,0.225035326,0.04145211,0.037834382,0.056564491,11.11,13,5.8,4,9,16633.75,8.73,0,0,1.461566092,no-take
Dongsha,South Inner Atoll,5,20.644033,116.806167,23.59000015,2.266002836,12.91087365,22.11943626,3.599999905,0.531910598,0.225035326,0.04145211,0.037834382,0.056564491,11.11,13,5.8,4,9,16633.75,8.73,0,0,2.245088844,no-take
Dongsha,South Inner Atoll,5,20.644083,116.806167,23.59000015,2.266002836,12.91087365,22.11943626,3.599999905,0.531910598,0.225035326,0.04145211,0.037834382,0.056564491,11.11,13,5.8,4,9,16633.75,8.73,0,0,0.847999656,no-take
Dongsha,South Inner Atoll,5,20.644133,116.806167,23.59000015,2.266002836,12.91087365,22.11943626,3.599999905,0.531910598,0.225035326,0.04145211,0.037834382,0.056564491,11.11,13,5.8,4,9,16633.75,8.73,0,0,2.609395084,no-take
Dongsha,North Inner Atoll,5,20.7065,116.806167,23.55999947,2.259307128,13.58736935,22.02376175,3.599999905,0.481662929,0.160154829,0.13917045,0.037778972,0.034488521,10.61,13,5.8,4,9,16633.75,8.73,0,0,0.0362661,no-take
Dongsha,North Inner Atoll,5,20.70655,116.806167,23.55999947,2.259307128,13.58736935,22.02376175,3.599999905,0.481662929,0.160154829,0.13917045,0.037778972,0.034488521,10.61,13,5.8,4,9,16633.75,8.73,0,0,0.328284348,no-take
Dongsha,North Inner Atoll,5,20.7066,116.806167,23.55999947,2.259307128,13.58736935,22.02376175,3.599999905,0.481662929,0.160154829,0.13917045,0.037778972,0.034488521,10.61,13,5.8,4,9,16633.75,8.73,0,0,0.24972906,no-take
Dongsha,North Inner Atoll,5,20.70665,116.806167,23.55999947,2.259307128,13.58736935,22.02376175,3.599999905,0.481662929,0.160154829,0.13917045,0.037778972,0.034488521,10.61,13,5.8,4,9,16633.75,8.73,0,0,0.483289656,no-take
Dongsha,North Inner Atoll,5,20.7067,116.806167,23.55999947,2.259307128,13.58736935,22.02376175,3.599999905,0.481662929,0.160154829,0.13917045,0.037778972,0.034488521,10.61,13,5.8,4,9,16633.75,8.73,0,0,0.45725104,no-take
Dongsha,West Inner Atoll,5,20.69495,116.751533,23.53000069,2.286038354,13.67442346,22.02206421,3.599999905,0.451436013,0.163707256,0.07831081,0.026169774,0.031809024,11.29,13,5.8,4,9,16633.75,8.73,0,0,0.594665552,no-take
Dongsha,West Inner Atoll,5,20.695,116.751533,23.53000069,2.286038354,13.67442346,22.02206421,3.599999905,0.451436013,0.163707256,0.07831081,0.026169774,0.031809024,11.29,13,5.8,4,9,16633.75,8.73,0,0,0.397197144,no-take
Dongsha,West Inner Atoll,5,20.69505,116.751533,23.53000069,2.286038354,13.67442346,22.02206421,3.599999905,0.451436013,0.163707256,0.07831081,0.026169774,0.031809024,11.29,13,5.8,4,9,16633.75,8.73,0,0,0.768093428,no-take
Dongsha,West Inner Atoll,5,20.6951,116.751533,23.53000069,2.286038354,13.67442346,22.02206421,3.599999905,0.451436013,0.163707256,0.07831081,0.026169774,0.031809024,11.29,13,5.8,4,9,16633.75,8.73,0,0,0,no-take
Dongsha,West Inner Atoll,5,20.69515,116.751533,23.53000069,2.286038354,13.67442346,22.02206421,3.599999905,0.451436013,0.163707256,0.07831081,0.026169774,0.031809024,11.29,13,5.8,4,9,16633.75,8.73,0,0,0.415198508,no-take
Dongsha,East Outer Atoll,10,20.700267,116.923133,23.63999939,2.227152287,12.03438725,22.02886009,15.60000038,0.583565831,0.212352301,0.153279169,0.046113484,0.047419571,10.18,13,5.8,4,9,0,0,0,0,0.723607768,no-take
Dongsha,East Outer Atoll,10,20.700317,116.923133,23.63999939,2.227152287,12.03438725,22.02886009,15.60000038,0.583565831,0.212352301,0.153279169,0.046113484,0.047419571,10.18,13,5.8,4,9,0,0,0,0,0.682442692,no-take
Dongsha,East Outer Atoll,10,20.700367,116.923133,23.63999939,2.227152287,12.03438725,22.02886009,15.60000038,0.583565831,0.212352301,0.153279169,0.046113484,0.047419571,10.18,13,5.8,4,9,0,0,0,0,1.109662984,no-take
Dongsha,East Outer Atoll,10,20.700417,116.923133,23.63999939,2.227152287,12.03438725,22.02886009,15.60000038,0.583565831,0.212352301,0.153279169,0.046113484,0.047419571,10.18,13,5.8,4,9,0,0,0,0,1.969044272,no-take
